Gene name	Gene type
Gm48990	processed_pseudogene
Gm48991	processed_pseudogene
Gm48994	processed_pseudogene
Gm15040	processed_pseudogene
Gm15041	processed_pseudogene
Nfatc4	protein_coding
Gm8036	processed_pseudogene
Fndc11	protein_coding
Gm5207	processed_pseudogene
Gm48995	processed_pseudogene
Gm18935	processed_pseudogene
Spertl	protein_coding
Gm45897	lincRNA
Gm18885	processed_pseudogene
Gm19099	processed_pseudogene
Gm15000	processed_pseudogene
Tex13a	protein_coding
Gm15001	processed_pseudogene
Gm14989	processed_pseudogene
Gm14988	processed_pseudogene
Il1rapl2	protein_coding
Ctdspl	protein_coding
Gpm6b	protein_coding
Klhl1	protein_coding
Gm10157	processed_pseudogene
Itga9	protein_coding
Gm15515	processed_pseudogene
Gm49006	processed_pseudogene
Gnb1-ps2	processed_pseudogene
Gm18926	processed_pseudogene
Gm9287	processed_pseudogene
Gm49007	lincRNA
Gm33525	lincRNA
Gm9290	processed_pseudogene
Gm17228	processed_pseudogene
4930405O22Rik	sense_intronic
Fbxl17	protein_coding
Gm2415	antisense
Gm48135	TEC
Gm16295	lincRNA
Gm16331	processed_pseudogene
Dach1	protein_coding
Src	protein_coding
Vill	protein_coding
Helz2	protein_coding
Nrk	protein_coding
Plcd1	protein_coding
Dscaml1	protein_coding
Mei1	protein_coding
Dlec1	protein_coding
4833428L15Rik	antisense
Ugt8a	protein_coding
Acaa1b	protein_coding
Gm46477	processed_pseudogene
Gm49017	processed_pseudogene
Gm47289	lincRNA
Gm27034	processed_pseudogene
Gm10608	processed_pseudogene
Gm49018	lincRNA
Gm18148	processed_pseudogene
Serpina7	protein_coding
Rpl36a-ps1	protein_coding
Gmeb2	protein_coding
4930513O06Rik	protein_coding
Oxsr1	protein_coding
Mzt1	protein_coding
4933428M09Rik	protein_coding
Gm15007	processed_pseudogene
Slc22a13b	polymorphic_pseudogene
Pwwp3b	protein_coding
Acaa1a	protein_coding
Gm7645	processed_pseudogene
Bora	protein_coding
Xylb	protein_coding
Trap1a	protein_coding
Gm15002	processed_pseudogene
Platr21	processed_transcript
Stmn3	protein_coding
Slc22a13	protein_coding
Gm8061	processed_pseudogene
Slc22a14	protein_coding
Radx	protein_coding
Myd88	protein_coding
Gm47320	antisense
Acvr2b	protein_coding
4930516B21Rik	lincRNA
Exog	protein_coding
Pibf1	protein_coding
Gm49026	TEC
Dis3	protein_coding
Scn5a	protein_coding
Rnf128	protein_coding
Gm6322	processed_pseudogene
Ccdc134	protein_coding
Scn10a	protein_coding
Gm15013	protein_coding
Tbc1d8b	protein_coding
Gm4412	processed_pseudogene
Klf5	protein_coding
Ripply1	protein_coding
Gm49218	processed_pseudogene
Gm15012	processed_pseudogene
Scn11a	protein_coding
Cldn2	protein_coding
Ppp6r2	protein_coding
Gm49219	processed_pseudogene
Gm49220	processed_pseudogene
Gm41230	lincRNA
Gm49225	lincRNA
Gm9298	processed_pseudogene
Gm37093	TEC
Gm5958	processed_pseudogene
Gm2449	bidirectional_promoter_lncRNA
Klf12	protein_coding
4930517O19Rik	antisense
Gm16260	processed_pseudogene
Trappc2	protein_coding
Gm49502	TEC
Srebf2	protein_coding
Ofd1	protein_coding
Rab9	protein_coding
Gm15229	processed_pseudogene
Gm15223	processed_pseudogene
Tceanc	protein_coding
Egfl6	protein_coding
Gm49427	lincRNA
Ttc21a	protein_coding
Gm15226	lincRNA
Gm1720	lincRNA
Rpl7a-ps11	processed_pseudogene
Gm15230	lincRNA
Gm15231	processed_pseudogene
Morc4	protein_coding
Gm8814	processed_pseudogene
Gm8817	lincRNA
Gm15232	lincRNA
Gm15228	lincRNA
Tmsb4x	protein_coding
Tlr8	protein_coding
Gm47043	lincRNA
Gm33858	antisense
Wdr48	protein_coding
Tlr7	protein_coding
Gm15239	antisense
Prps2	protein_coding
Xirp1	protein_coding
Gorasp1	protein_coding
A430027C01Rik	TEC
Gm18821	processed_pseudogene
Gm38057	TEC
Gm38111	TEC
Rpl15-ps2	processed_pseudogene
Gm27152	processed_pseudogene
Gm37023	TEC
Cx3cr1	protein_coding
Tcf12	protein_coding
Csrnp1	protein_coding
1700019L13Rik	antisense
Ccr8	protein_coding
Gm47050	TEC
Slc25a38	protein_coding
Rpsa	protein_coding
Gm5922	lincRNA
Gm47059	lincRNA
Gm38642	processed_transcript
Gm38642	lincRNA
Mobp	protein_coding
Rtel1	protein_coding
Gm37111	TEC
Gm15565	processed_pseudogene
Gm15566	processed_pseudogene
Myrip	protein_coding
D830035M03Rik	antisense
Eif1b	protein_coding
Gm7229	unprocessed_pseudogene
Entpd3	protein_coding
Rpl14	protein_coding
5830454E08Rik	lincRNA
Gm47062	unprocessed_pseudogene
Gm39456	lincRNA
Gm39458	processed_transcript
Gm47063	TEC
Gm47064	lincRNA
Gm18101	processed_pseudogene
Gm47066	lincRNA
Gm39459	lincRNA
Gm47068	lincRNA
Gm47069	lincRNA
Gm19385	lincRNA
Gm47070	lincRNA
Gm34425	lincRNA
Gm39460	lincRNA
1700020M21Rik	lincRNA
4930593C16Rik	antisense
Gm17157	processed_pseudogene
Ulk4	protein_coding
Ctnnb1	protein_coding
Gm37137	TEC
Gm37663	TEC
Gm37879	TEC
Gm6744	processed_pseudogene
Gm15240	processed_pseudogene
Gm15238	processed_pseudogene
Gm8832	processed_pseudogene
Frmpd4	protein_coding
Gm15237	processed_pseudogene
Gm7209	processed_pseudogene
Msl3	protein_coding
Gm15233	processed_pseudogene
Amelx	protein_coding
Gm15261	antisense
Hccs	protein_coding
Arhgap6	protein_coding
Gm7863	processed_pseudogene
BC022960	transcribed_processed_pseudogene
Gm15246	processed_transcript
Uba52-ps	processed_pseudogene
Gm27159	lincRNA
Gm15245	lincRNA
Gm27188	lincRNA
Gm7870	processed_pseudogene
Gm27253	lincRNA
Sbf1	protein_coding
G530011O06Rik	processed_transcript
Gm15247	antisense
Gm15726	antisense
Mid1	protein_coding
4933400A11Rik	protein_coding
Erdr1	lincRNA
Asmt	protein_coding
Gm15069	processed_pseudogene
Gm15068	processed_pseudogene
Adm2	protein_coding
Gm17828	processed_pseudogene
Gm37581	TEC
Gm37150	TEC
Gm27255	lincRNA
Gm27230	processed_transcript
Gm19353	processed_pseudogene
BC065403	antisense
Zfp280d	protein_coding
Gm37983	TEC
Gm37303	TEC
Miox	protein_coding
Gm27254	processed_pseudogene
Lmf2	protein_coding
Gm27231	antisense
Tex9	protein_coding
Gm36948	TEC
Mns1	protein_coding
Sco2	protein_coding
Ncaph2	protein_coding
Tymp	protein_coding
Odf3b	protein_coding
Klhdc7b	protein_coding
Syce3	protein_coding
C730034F03Rik	bidirectional_promoter_lncRNA
Cpt1b	protein_coding
Chkb	protein_coding
Gm44502	protein_coding
4930509E16Rik	lincRNA
Gm27241	antisense
Gm19427	processed_pseudogene
Gm27232	antisense
Rfx7	protein_coding
Gm37105	TEC
Gm18014	processed_pseudogene
Nedd4	protein_coding
Gm7265	TEC
Gm36936	TEC
A530064N14Rik	TEC
Gm37955	TEC
Mapk8ip2	protein_coding
Gm27204	lincRNA
C230037L18Rik	antisense
Arsa	protein_coding
Gm41381	lincRNA
Gm37234	TEC
Prtg	protein_coding
A730062M13Rik	TEC
Gm27203	processed_pseudogene
Pygo1	protein_coding
Pigbos1	protein_coding
Gm44503	protein_coding
Ccpg1	protein_coding
Gm37710	TEC
Ccpg1os	protein_coding
Pigb	protein_coding
Gm38192	TEC
Dnaaf4	protein_coding
Shank3	protein_coding
Gm15609	lincRNA
Acr	protein_coding
Rabl2	protein_coding
Gm18476	processed_pseudogene
Syt10	protein_coding
Gm36330	lincRNA
Alg10b	protein_coding
Gm36480	lincRNA
Rab27a	protein_coding
Gm27186	processed_pseudogene
Gm41231	lincRNA
6330576A10Rik	lincRNA
Gm9302	processed_pseudogene
Gm49237	lincRNA
Gm49238	TEC
Gm49239	processed_pseudogene
Tle3	protein_coding
Prr30	protein_coding
Hspd1-ps5	processed_pseudogene
Gm15011	processed_pseudogene
Rbm41	protein_coding
Shisa8	protein_coding
Tnfrsf13c	protein_coding
Gm49503	lincRNA
Nup62cl	protein_coding
Gm6298	processed_pseudogene
Pih1h3b	protein_coding
AL928965.1	unitary_pseudogene
Gm15046	lincRNA
Gm34417	processed_pseudogene
Tbc1d4	protein_coding
Frmpd3	protein_coding
Cenpm	protein_coding
Gm8097	processed_pseudogene
Prps1	protein_coding
Lime1	protein_coding
Zgpat	protein_coding
Arfrp1	protein_coding
Commd6	protein_coding
1500009C09Rik	protein_coding
AL683809.1	processed_pseudogene
Tsc22d3	protein_coding
Gm15047	processed_pseudogene
Uchl3	protein_coding
Gm18075	processed_pseudogene
Gm49269	processed_pseudogene
Gm9922	bidirectional_promoter_lncRNA
Mid2	protein_coding
Eif2c5	lincRNA
Gm6088	processed_pseudogene
Tex13b	protein_coding
Gm7091	processed_pseudogene
Vsig1	protein_coding
Gm34322	lincRNA
Gm47240	processed_pseudogene
Gm34424	transcribed_processed_pseudogene
Gm47241	processed_pseudogene
Gm19208	processed_pseudogene
Psmd10	protein_coding
Slc2a4rg-ps	transcribed_unitary_pseudogene
Rplp1	protein_coding
Zbtb46	protein_coding
Atg4a	protein_coding
Abhd16b	protein_coding
Kif23	protein_coding
Septin3	protein_coding
Lmo7	protein_coding
Tpd52l2	protein_coding
Paqr5	protein_coding
Glce	protein_coding
Wbp2nl	protein_coding
Gm47262	lincRNA
A730043L09Rik	lincRNA
Gm5854	processed_pseudogene
Spesp1	protein_coding
Gm49292	lincRNA
Gm35288	lincRNA
Gm34589	processed_transcript
Gm15078	processed_pseudogene
Gm15079	processed_pseudogene
Gm15077	processed_pseudogene
Col4a6	protein_coding
Kctd12	protein_coding
4933432I03Rik	lincRNA
Rpl17-ps7	processed_pseudogene
Gm34643	lincRNA
Acod1	protein_coding
Dnajc5	protein_coding
Anp32a	protein_coding
Cln5	protein_coding
Fbxl3	protein_coding
Naga	protein_coding
Coro2b	protein_coding
Gm15282	processed_pseudogene
Col4a5	protein_coding
Gm15268	processed_pseudogene
Uckl1	protein_coding
Uckl1os	antisense
Zfp512b	protein_coding
Prpf6	protein_coding
Samd10	protein_coding
Gm15295	antisense
Irs4	protein_coding
Gm15297	processed_pseudogene
Hmgn2l6	processed_pseudogene
Pheta2	protein_coding
Smdt1	protein_coding
Gm15294	protein_coding
Gm21961	protein_coding
Gm11146	protein_coding
A130006I12Rik	pseudogene
Tmlhe	protein_coding
Gm9823	pseudogene
Gm11060	protein_coding
Gm22346	miRNA
Gm27297	snRNA
Gm25259	snRNA
Gm24505	snoRNA
Gm26316	snRNA
Mir1298	miRNA
Gm23301	snoRNA
Gm44384	miRNA
Gm26003	snoRNA
n-R5-8s1	rRNA
Gm22338	snoRNA
Gm23162	miRNA
Mir1942	miRNA
Gm26311	snoRNA
Gm26171	rRNA
Gm23606	miRNA
Gm24640	miRNA
Gm28022	miRNA
Mir467a-9	miRNA
Gm27535	misc_RNA
Gm23310	snoRNA
Gm23378	snRNA
Gm23800	miRNA
Gm25917	snoRNA
Gm26494	snoRNA
Gm24065	misc_RNA
Gm24523	snoRNA
Gm24515	miRNA
Gm24577	snRNA
Gm26169	snoRNA
Gm22753	snRNA
Mir7673	miRNA
Gm26077	snoRNA
Gm25271	misc_RNA
n-R5s88	rRNA
Gm47275	miRNA
Gm25414	snRNA
Gm26088	snoRNA
Gm23763	snRNA
Gm26219	miRNA
Snord116l16	snoRNA
Gm23885	misc_RNA
Gm24712	snRNA
Gm24005	misc_RNA
Gm23388	miRNA
Gm25564	snoRNA
Mir7658	miRNA
n-R5s50	rRNA
Gm23996	snoRNA
Mir8108	miRNA
Gm23820	misc_RNA
Gm23932	snRNA
Gm24612	snRNA
Mir669a-1	miRNA
Gm25008	snRNA
Gm23199	snRNA
Gm24910	misc_RNA
Gm24436	misc_RNA
Gm25937	snRNA
Mir1197	miRNA
Mir105	miRNA
n-R5s217	rRNA
Mir5113	miRNA
Gm24897	snRNA
Gm27387	miRNA
Gm25952	miRNA
Gm25403	misc_RNA
Gm24304	snRNA
Gm22538	misc_RNA
Gm22229	snRNA
Gm26300	miRNA
Snora3	snoRNA
Gm47277	miRNA
Gm26141	miRNA
Mir669j	miRNA
Gm22253	snoRNA
Gm25185	snoRNA
Mir2137	miRNA
Gm24891	snoRNA
Gm25766	snoRNA
Gm25405	snRNA
Gm24722	snRNA
Gm25314	snoRNA
Gm22335	snRNA
Mir6911	miRNA
Mir6364	miRNA
Gm26447	snoRNA
Gm22867	snRNA
n-R5s107	rRNA
Gm22978	snRNA
Gm23329	snoRNA
Gm22408	miRNA
Gm23976	miRNA
Mir326	miRNA
Rpl36-ps4	protein_coding
Pfpl	protein_coding
Gm10805	pseudogene
Gm17258	pseudogene
Gm21822	protein_coding
CR974586.1	protein_coding
Gm17472	IG_LV_gene
Gm23195	snoRNA
Gm24018	snRNA
Gm23058	snRNA
Gm25711	snoRNA
Gm24187	miRNA
Gm25863	ribozyme
Mir301b	miRNA
Gm44383	miRNA
Gm23769	snoRNA
Mir8109	miRNA
Gm25607	snoRNA
Gm22413	miRNA
Gm23535	snRNA
Gm26020	snRNA
Mir7020	miRNA
Mir582	miRNA
Gm38670	miRNA
Mir490	miRNA
Gm26127	snRNA
Gm25563	snRNA
Gm25580	misc_RNA
Gm23910	snoRNA
Gm25366	snRNA
Gm25406	snoRNA
Gm22443	snRNA
Snora16a	snoRNA
Gm25655	misc_RNA
Gm28020	snRNA
Gm24124	snoRNA
Gm27572	misc_RNA
Gm25595	miRNA
Gm27785	miRNA
Mir192	miRNA
Gm22788	snRNA
Rnu12	snRNA
Gm25726	snoRNA
Gm23289	rRNA
Gm22066	miRNA
Gm26058	snRNA
Gm24279	snoRNA
Gm22472	snRNA
Gm23449	snoRNA
Mir541	miRNA
Gm22607	snRNA
Gm23078	snRNA
Mir7094-1	miRNA
Gm22864	snoRNA
Gm25959	miRNA
Gm25458	miRNA
Mir3087	miRNA
Gm25032	miRNA
Mir7230	miRNA
Gm25093	snoRNA
Gm24036	snRNA
Mir1187	miRNA
Mir3101	miRNA
Snord80	snoRNA
Mir7082	miRNA
Gm25168	snoRNA
Mir6407	miRNA
Gm22687	rRNA
Gm23889	snRNA
Mir330	miRNA
Gm23279	rRNA
Gm44302	miRNA
Gm22284	snoRNA
Gm26156	miRNA
Mir5118	miRNA
Gm25747	miRNA
Gm24140	misc_RNA
Gm24226	snRNA
Gm24677	snoRNA
Mir6377	miRNA
Gm25798	snRNA
Mir23a	miRNA
Gm22616	miRNA
Gm25978	miRNA
Gm22561	misc_RNA
Mir491	miRNA
Gm26115	miRNA
Gm22716	snRNA
Snora20	snoRNA
Gm25615	snoRNA
Gm23636	miRNA
Gm27924	miRNA
Mir467a-7	miRNA
Gm24358	misc_RNA
Gm25770	snoRNA
Gm24118	snoRNA
Mir329	miRNA
Gm22596	misc_RNA
Gm24197	miRNA
Gm25908	rRNA
Gm17711	pseudogene
Gm10582	pseudogene
AC125149.1	protein_coding
AC168977.1	protein_coding
Gm23776	misc_RNA
Snord116l15	snoRNA
Gm25687	misc_RNA
Gm25653	snoRNA
Gm23837	misc_RNA
n-R5s108	rRNA
Mir7047	miRNA
Gm25789	snoRNA
Gm24503	snoRNA
Gm22558	snRNA
Gm49349	miRNA
Gm26257	snRNA
Gm25617	snoRNA
Gm22868	snRNA
Gm23943	miRNA
Gm23104	snRNA
Gm23327	snoRNA
Gm24061	snoRNA
Gm22101	snRNA
Gm23182	snoRNA
Snord116l17	snoRNA
Gm27672	miRNA
Gm24296	snRNA
Gm24113	misc_RNA
Gm24892	snRNA
Gm24929	snRNA
Gm25993	miRNA
n-R5s69	rRNA
Gm24771	snoRNA
Gm24343	snoRNA
Gm25125	snoRNA
Gm24184	misc_RNA
Gm23212	snoRNA
Gm24839	snRNA
Gm25186	snRNA
Gm24565	snRNA
Gm27926	snRNA
Mir3088	miRNA
Mir1946a	miRNA
Gm25723	snoRNA
Gm22385	rRNA
Gm22701	misc_RNA
Mir3070a	miRNA
Gm24831	snRNA
Mir7044	miRNA
Mir290b	miRNA
Gm26036	snoRNA
Gm27639	snRNA
Gm24837	snoRNA
Gm26354	snoRNA
Mir466l	miRNA
Gm25643	snRNA
Gm22360	snRNA
Gm26195	miRNA
Gm25860	snoRNA
Mir669a-8	miRNA
Gm24596	snRNA
Gm22576	snRNA
Gm22325	misc_RNA
Gm22751	miRNA
Gm25058	scaRNA
Gm24164	snRNA
Gm24842	snRNA
Gm24448	snRNA
Gm22906	misc_RNA
Gm22036	misc_RNA
Gm22740	snRNA
Gm22121	miRNA
Gm23180	snoRNA
Gm22535	rRNA
Mir5114	miRNA
Mir7680	miRNA
Mir7090	miRNA
Gm24646	snRNA
Gm23977	snRNA
Mir6977	miRNA
Gm22371	snoRNA
Gm23429	snRNA
Gm25142	snRNA
Gm25931	miRNA
Gm25060	snRNA
Mir138-2	miRNA
Mir294	miRNA
Gm22683	snoRNA
Mir6954	miRNA
Gm28023	miRNA
Gm24719	snoRNA
Mir8106	miRNA
Gm22459	snoRNA
Gm22347	snoRNA
Mir466b-6	miRNA
Gm25617	snoRNA
Gm26035	misc_RNA
Gm26096	snoRNA
Snora5c	snoRNA
Gm26402	snRNA
AC126035.1	protein_coding
Gm17662	protein_coding
AC149090.1	protein_coding
Gm21882	protein_coding
Gm22983	snRNA
Gm25123	miRNA
Gm26395	snoRNA
Gm23575	snoRNA
Gm22220	snRNA
Mir879	miRNA
Gm24513	miRNA
Gm25541	snRNA
Gm22500	snRNA
Gm22699	snRNA
Snord73a	snoRNA
Gm26391	rRNA
Mir3060	miRNA
Gm23468	snRNA
Mir3963	miRNA
Gm22651	rRNA
Gm25774	miRNA
Gm24986	snoRNA
Mir148b	miRNA
Gm24587	miRNA
Gm25260	snRNA
Gm22478	snoRNA
Gm25945	snoRNA
Gm25176	snRNA
Gm24666	snRNA
Gm25280	snRNA
Gm25787	miRNA
Gm27910	miRNA
Gm24765	snRNA
Gm22634	snRNA
Gm44468	miRNA
Gm22732	snoRNA
Gm26072	snRNA
Gm24500	snoRNA
Gm22895	misc_RNA
Mir6353	miRNA
Mir6335	miRNA
Gm23829	misc_RNA
Gm23064	miRNA
Gm25100	miRNA
Gm22510	snoRNA
Gm25170	snoRNA
Gm25350	snoRNA
Gm25430	misc_RNA
n-R5s192	rRNA
Gm26454	snRNA
Gm27397	miRNA
Gm22838	snRNA
Mir669f	miRNA
Mir6419	miRNA
Mir365-2	miRNA
Gm23846	snRNA
n-R5s36	rRNA
Gm22073	snRNA
Snord34	snoRNA
Gm26158	snoRNA
Gm22993	misc_RNA
Gm24909	misc_RNA
Gm47305	miRNA
Gm23358	miRNA
Mir6240	miRNA
Gm24569	snRNA
Gm25164	rRNA
Gm25720	snRNA
Gm27953	misc_RNA
Gm22057	snRNA
Gm27336	miRNA
Gm25360	snRNA
Gm25603	miRNA
Gm23880	miRNA
Gm23352	snRNA
Gm24233	snoRNA
Gm22152	snoRNA
Gm23298	snRNA
Mir3074-1	miRNA
AC133095.2	protein_coding
Gm24062	misc_RNA
Gm10542	protein_coding
Gm25737	snRNA
Gm11027	protein_coding
Snord107	snoRNA
Gm10663	protein_coding
Gm23334	miRNA
Gm17420	pseudogene
Gm26307	snoRNA
AC133103.6	protein_coding
n-R5s121	rRNA
A530084C06Rik	protein_coding
Gm10198	protein_coding
Gm22189	miRNA
Gm23494	snRNA
Gm23941	snRNA
Gm22999	snoRNA
Gm24761	miRNA
Gm26204	snRNA
Gm25505	misc_RNA
Gm22704	snoRNA
Gm27991	snoRNA
Gm25132	snRNA
Snora16a	snoRNA
Gm26079	snoRNA
Mir6391	miRNA
Gm25103	misc_RNA
Mir216a	miRNA
Gm23793	snRNA
Gm25300	snRNA
Gm22094	rRNA
Mir717	miRNA
Snord15b	snoRNA
Gm44390	miRNA
Gm47278	miRNA
Gm25989	snoRNA
Gm27494	misc_RNA
Mir10a	miRNA
Mir7216	miRNA
Gm22710	snRNA
Gm25708	miRNA
Gm23573	snRNA
Gm22539	snoRNA
Mir467a-8	miRNA
Gm23680	snRNA
Gm23172	snoRNA
Snora9	snoRNA
Gm22551	snoRNA
Gm27723	snRNA
Gm24451	snoRNA
Gm27405	miRNA
9430025C20Rik	pseudogene
Mir8096	miRNA
Gm26351	ribozyme
Mir3073a	miRNA
AC164084.2	protein_coding
Gm25425	snRNA
Gm26405	rRNA
Gm24280	snoRNA
Gm10944	protein_coding
Mir5710	miRNA
Gm22361	snRNA
Mir574	miRNA
Gm17490	protein_coding
Gm23043	snoRNA
n-R5s202	rRNA
AC133103.1	protein_coding
Mir451a	miRNA
Gm25831	snRNA
Gm23332	misc_RNA
AC132444.3	protein_coding
Gm10849	pseudogene
Gm10172	pseudogene
AC132444.5	protein_coding
AC165294.3	protein_coding
Mir6923	miRNA
Gm25450	snRNA
Gm17728	protein_coding
Gm10985	protein_coding
D130007C19Rik	pseudogene
AC163611.1	protein_coding
Gm24880	rRNA
Gm24336	snoRNA
Spry3	protein_coding
Ccl21a	protein_coding
Gm9877	pseudogene
Mir5099	miRNA
Gm10620	pseudogene
Gm9925	protein_coding
Rpl27a-ps2	processed_pseudogene
Gm10617	pseudogene
Gm23553	misc_RNA
Gm50110	misc_RNA
Gm11032	protein_coding
Gm25838	misc_RNA
Gm17617	protein_coding
Gm23616	miRNA
Gm10583	pseudogene
Mir1247	miRNA
AC132444.4	protein_coding
AC140365.1	protein_coding
Gm47290	snRNA
Gm27755	misc_RNA
AC125178.1	protein_coding
Mir6926	miRNA
Gm17545	protein_coding
Gm25579	snRNA
Gm24188	rRNA
Fam205a2	protein_coding
Mir344g	miRNA
Ccl27a	protein_coding
Gm25785	snRNA
Mir207	miRNA
Gm11020	protein_coding
Mir1947	miRNA
Gm21994	protein_coding
Gm10702	pseudogene
Gm24290	misc_RNA
Gm22944	snoRNA
Gm24833	snRNA
Mir8090	miRNA
Gm11168	protein_coding
n-R5s149	rRNA
Gm23816	snoRNA
Gm23169	snRNA
Gm26384	miRNA
Gm22778	snoRNA
AC123873.1	protein_coding
Gm9806	pseudogene
Gm10188	protein_coding
Gm24625	snoRNA
Gm7381	processed_pseudogene
Gm23638	miRNA
Gm22885	snRNA
Gm25098	snoRNA
Ccl21c	protein_coding
Mir99a	miRNA
Gm23028	misc_RNA
n-R5s46	rRNA
Gm25169	snoRNA
Gm26042	miRNA
Gm26741	protein_coding
Gm24477	snRNA
AC133103.7	protein_coding
Gm27882	misc_RNA
Mir93	miRNA
Gm22163	snoRNA
Gm10721	protein_coding
Mir467a-5	miRNA
Gm23280	snoRNA
Mir3081	miRNA
Gm27847	miRNA
B430305J03Rik	protein_coding
Gm23342	rRNA
Gm24555	snoRNA
Dlk2	protein_coding
Gm49928	antisense
4930578I06Rik	protein_coding
Fam219b	protein_coding
A230020J21Rik	antisense
Gm26631	bidirectional_promoter_lncRNA
Lztr1	protein_coding
Ipo11	protein_coding
Gm28988	antisense
Apcdd1	protein_coding
Hmgxb4	protein_coding
Cox5a	protein_coding
Ikbkb	protein_coding
Toe1	protein_coding
Gm15346	antisense
Ddx17	protein_coding
Get1	protein_coding
Rpp25	protein_coding
Gm47663	lincRNA
Gm44627	TEC
Gm36931	TEC
Gm9411	processed_pseudogene
Gm47668	processed_pseudogene
Gm14833	processed_pseudogene
Ifngr2	protein_coding
C78859	lincRNA
Abhd8	protein_coding
Gm16155	sense_intronic
Gm47670	processed_pseudogene
Gm11033	lincRNA
Zfp72	protein_coding
Satb1	protein_coding
9230109A22Rik	lincRNA
Pxdn	protein_coding
Olfr147	protein_coding
Gm15575	processed_pseudogene
Gm10752	TEC
Npsr1	protein_coding
AU016765	lincRNA
Gm16198	processed_pseudogene
D630002J18Rik	TEC
Gm8227	processed_pseudogene
5830426I08Rik	TEC
Gm45052	lincRNA
Mrpl34	protein_coding
Gm38341	TEC
Gm31881	antisense
Olfr901	protein_coding
4930402F06Rik	protein_coding
Gm20701	processed_pseudogene
Hspb7	protein_coding
Gm37905	TEC
Trip11	protein_coding
Gm33979	lincRNA
Map3k10	protein_coding
Gm35986	antisense
Gipc2	protein_coding
Gm48021	lincRNA
Gm14176	processed_pseudogene
Gm48022	lincRNA
Rsl1d1	protein_coding
4930413G21Rik	TEC
Olfr902	protein_coding
Gm40689	lincRNA
Rbbp6	protein_coding
Gm48023	lincRNA
Olfr1543-ps1	unprocessed_pseudogene
Gm14741	processed_pseudogene
Mcrip1	protein_coding
Gm15983	antisense
Alg1	protein_coding
Srarp	protein_coding
Cnbp	protein_coding
Gm11594	processed_pseudogene
Mrpl45	protein_coding
Micu2	protein_coding
Gdpd5	protein_coding
Isx	protein_coding
Gm8531	processed_pseudogene
Hmgb1-rs16	processed_pseudogene
Cela3b	protein_coding
Gm37563	TEC
Alkbh6	protein_coding
Vmn2r-ps67	unprocessed_pseudogene
Olfr315	protein_coding
Ska2l-ps	processed_pseudogene
Psen2	protein_coding
Clec4b2	protein_coding
Slc16a14	protein_coding
Gm38152	TEC
Gm36536	lincRNA
Glmn	protein_coding
Gm7695	processed_pseudogene
Olfr314	protein_coding
Olfr904	protein_coding
Gm5521	processed_pseudogene
Gm7102	protein_coding
Nphp1	protein_coding
Sema6b	protein_coding
Zfp853	protein_coding
Ttc9b	protein_coding
Olfr905	protein_coding
Kansl1	protein_coding
Psmg2	protein_coding
Gm18358	unprocessed_pseudogene
Gm5883	processed_pseudogene
AC167036.1	protein_coding
Gpr179	protein_coding
Sash3	protein_coding
Fam229a	protein_coding
Jakmip2	protein_coding
Gm50255	lincRNA
Gm15600	antisense
Eps8l3	protein_coding
Gm47674	TEC
Uroc1	protein_coding
Gm45823	sense_intronic
Gm43980	TEC
Gm18001	processed_pseudogene
Tra2a	protein_coding
D830024N08Rik	antisense
Tecr	protein_coding
Gm17753	lincRNA
Anxa5	protein_coding
Vmn2r67	protein_coding
Gm6741	processed_pseudogene
Gm5392	processed_pseudogene
Gm49988	processed_pseudogene
Susd4	protein_coding
Mrpl18	protein_coding
Gm49989	processed_pseudogene
Ociad2	protein_coding
Gm49990	processed_pseudogene
Cacna1e	protein_coding
Gm21430	processed_pseudogene
Dnajc13	protein_coding
Olfr906	protein_coding
Gm49991	lincRNA
R3hdm2	protein_coding
Gm15404	lincRNA
Eef2kmt	protein_coding
1700017B05Rik	protein_coding
Ppp1r27	protein_coding
Ggcx	protein_coding
Gm11394	unprocessed_pseudogene
Gm32633	lincRNA
Gm7592	unprocessed_pseudogene
1700069L16Rik	protein_coding
Gm16028	antisense
Rps6kc1	protein_coding
AC167036.2	protein_coding
Gm10553	antisense
Gm20036	processed_transcript
Gm2389	unprocessed_pseudogene
Gm20702	processed_pseudogene
Gm7582	unprocessed_pseudogene
Fam160a2	protein_coding
Gm33336	lincRNA
Gm16026	transcribed_unprocessed_pseudogene
Gm37867	lincRNA
Ftl1-ps1	protein_coding
Olfr907	protein_coding
Gm37924	TEC
Gm18011	processed_pseudogene
4933406I18Rik	lincRNA
Gm47428	antisense
Gm20274	sense_intronic
3110001I22Rik	protein_coding
Olfr90	protein_coding
Gstm5	protein_coding
Gm14361	processed_pseudogene
Btbd35f18	protein_coding
Gm47667	lincRNA
Bfar	protein_coding
Reep4	protein_coding
Anapc15-ps	protein_coding
Gm17966	processed_pseudogene
Gm38056	TEC
Gm47669	processed_pseudogene
Mettl27	protein_coding
Gm6644	processed_pseudogene
4930500L23Rik	lincRNA
Gm37382	TEC
Plcl1	protein_coding
Gm1527	protein_coding
C1qbp	protein_coding
Tnfaip8l1	protein_coding
Riok1	protein_coding
Uncx	protein_coding
A530040E14Rik	antisense
Adcy8	protein_coding
Rplp2	protein_coding
Sumo1	protein_coding
Evc2	protein_coding
Zfp750	protein_coding
A930019D19Rik	antisense
Gm6963	processed_pseudogene
